2026-04-22 01:45:26 status half-configured libgssapi-krb5-2:amd64 1.20.1-2+deb12u4
2026-04-22 01:45:26 status installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u4
2026-04-22 01:45:26 configure gpgconf:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:26 status unpacked gpgconf:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status half-configured gpgconf:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status installed gpgconf:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 configure libcurl4:amd64 7.88.1-10+deb12u14 <none>
2026-04-22 01:45:26 status unpacked libcurl4:amd64 7.88.1-10+deb12u14
2026-04-22 01:45:26 status half-configured libcurl4:amd64 7.88.1-10+deb12u14
2026-04-22 01:45:26 status installed libcurl4:amd64 7.88.1-10+deb12u14
2026-04-22 01:45:26 configure curl:amd64 7.88.1-10+deb12u14 <none>
2026-04-22 01:45:26 status unpacked curl:amd64 7.88.1-10+deb12u14
2026-04-22 01:45:26 status half-configured curl:amd64 7.88.1-10+deb12u14
2026-04-22 01:45:26 status installed curl:amd64 7.88.1-10+deb12u14
2026-04-22 01:45:26 configure gpg:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:26 status unpacked gpg:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status half-configured gpg:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status installed gpg:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 configure gnupg-utils:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:26 status unpacked gnupg-utils:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status half-configured gnupg-utils:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status installed gnupg-utils:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 configure gpg-agent:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:26 status unpacked gpg-agent:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status half-configured gpg-agent:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status installed gpg-agent:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 configure gpgsm:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:26 status unpacked gpgsm:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status half-configured gpgsm:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status installed gpgsm:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 configure dirmngr:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:26 status unpacked dirmngr:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status half-configured dirmngr:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status installed dirmngr:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 configure gpg-wks-server:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:26 status unpacked gpg-wks-server:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status half-configured gpg-wks-server:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status installed gpg-wks-server:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 configure gpg-wks-client:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:26 status unpacked gpg-wks-client:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status half-configured gpg-wks-client:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status installed gpg-wks-client:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 configure gnupg:all 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:26 status unpacked gnupg:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status half-configured gnupg:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 status installed gnupg:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:26 trigproc libc-bin:amd64 2.36-9+deb12u13 <none>
2026-04-22 01:45:26 status half-configured libc-bin:amd64 2.36-9+deb12u13
2026-04-22 01:45:26 status installed libc-bin:amd64 2.36-9+deb12u13
2026-04-22 01:45:26 trigproc ca-certificates:all 20230311+deb12u1 <none>
2026-04-22 01:45:26 status half-configured ca-certificates:all 20230311+deb12u1
2026-04-22 01:45:27 status installed ca-certificates:all 20230311+deb12u1
2026-04-22 01:45:36 startup packages remove
2026-04-22 01:45:36 status installed ca-certificates:all 20230311+deb12u1
2026-04-22 01:45:36 remove ca-certificates:all 20230311+deb12u1 <none>
2026-04-22 01:45:36 status half-configured ca-certificates:all 20230311+deb12u1
2026-04-22 01:45:36 status half-installed ca-certificates:all 20230311+deb12u1
2026-04-22 01:45:36 status config-files ca-certificates:all 20230311+deb12u1
2026-04-22 01:45:36 status installed curl:amd64 7.88.1-10+deb12u14
2026-04-22 01:45:36 remove curl:amd64 7.88.1-10+deb12u14 <none>
2026-04-22 01:45:36 status half-configured curl:amd64 7.88.1-10+deb12u14
2026-04-22 01:45:36 status half-installed curl:amd64 7.88.1-10+deb12u14
2026-04-22 01:45:36 status config-files curl:amd64 7.88.1-10+deb12u14
2026-04-22 01:45:36 status not-installed curl:amd64 <none>
2026-04-22 01:45:36 status installed gnupg:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 remove gnupg:all 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:36 status half-configured gnupg:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status half-installed gnupg:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status config-files gnupg:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status not-installed gnupg:all <none>
2026-04-22 01:45:36 status installed gpg-wks-client:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 remove gpg-wks-client:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:36 status half-configured gpg-wks-client:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status half-installed gpg-wks-client:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status config-files gpg-wks-client:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status not-installed gpg-wks-client:amd64 <none>
2026-04-22 01:45:36 status installed dirmngr:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 remove dirmngr:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:36 status half-configured dirmngr:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status half-installed dirmngr:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status config-files dirmngr:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status installed gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 remove gnupg-l10n:all 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:36 status half-configured gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status half-installed gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status config-files gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status not-installed gnupg-l10n:all <none>
2026-04-22 01:45:36 status installed gnupg-utils:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 remove gnupg-utils:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:36 status half-configured gnupg-utils:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status half-installed gnupg-utils:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status config-files gnupg-utils:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status not-installed gnupg-utils:amd64 <none>
2026-04-22 01:45:36 status installed gpg-wks-server:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 remove gpg-wks-server:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:36 status half-configured gpg-wks-server:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status half-installed gpg-wks-server:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status config-files gpg-wks-server:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status not-installed gpg-wks-server:amd64 <none>
2026-04-22 01:45:36 status installed gpg:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 remove gpg:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:36 status half-configured gpg:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status half-installed gpg:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status config-files gpg:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status not-installed gpg:amd64 <none>
2026-04-22 01:45:36 status installed gpg-agent:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 remove gpg-agent:amd64 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:36 status half-configured gpg-agent:amd64 2.2.40-1.1+deb12u2
2026-04-22 01:45:36 status half-installed gpg-agent:amd64 2.2.40-1.1+deb12u2
